xi,x_m,y_m,phi_rad
0.0,0.0,0.0,-0.014437827502813132
0.001669449081803005,0.0004946176144717637,6.314301535434791e-06,-0.005257401903439422
0.00333889816360601,0.0009896436645309434,1.4863583686619364e-05,0.0038538229709152577
0.005008347245409015,0.0014850035441265426,2.5853883732489912e-05,0.012895949654786187
0.00667779632721202,0.0019806251854282146,3.947368532581828e-05,0.021869085797025137
0.008347245409015025,0.002476439023912316,5.5894846819737586e-05,0.030773344025446937
0.01001669449081803,0.0029723779605533938,7.527349849856486e-05,0.03960884181188968
0.011686143572621035,0.003468377321439234,9.775090837391017e-05,0.0483757013378245
0.01335559265442404,0.0039643748151127365,0.0001234543163789342,0.05707404936063995
0.015025041736227046,0.004460310487928828,0.00015249773694841505,0.06570401708071524
0.01669449081803005,0.004956126677699384,0.0001849827301108919,0.07426574000938635
0.018363939899833055,0.005451767965883842,0.00022099914134240134,0.08275935783790057
0.02003338898163606,0.005947181128567959,0.00026062581054005376,0.09118501430744584
0.021702838063439065,0.006442315086458178,0.00030393125056904106,0.0995428570803324
0.02337228714524207,0.00693712085410412,0.0003509742959191884,0.10783303761239903
0.025041736227045076,0.0074315514885472615,0.0004018047220781229,0.11605571102670582
0.02671118530884808,0.007925562037579744,0.0004564638362881908,0.12421103598857233
0.028380634390651086,0.00841910948778333,0.000514985040404336,0.1322991745820123
0.03005008347245409,0.008912152712505431,0.0005773943666112186,0.14032029218760886
0.03171953255425709,0.009404652419916068,0.0006437109867903969,0.14827455736187434
0.0333889816360601,0.009896571101277573,0.000713947696353689,0.15616214171812604
0.035058430717863104,0.010387872979546806,0.0007881113733769946,0.16398321980891398
0.03672787979966611,0.01087852395841861,0.00086620341388124,0.17173796901002414
0.038397328881469114,0.011368491571908414,0.000948220144113591,0.17942656940608473
0.04006677796327212,0.011857744934561867,0.0010341532106842614,0.18704920367779082
0.041736227045075125,0.01234625469236975,0.0011239899494114964,0.1946060569907711
0.04340567612687813,0.012833992974457337,0.0012177137337214775,0.2020973168861045
0.045075125208681135,0.013320933345609142,0.001315304303440048,0.20952317317250257
0.04674457429048414,0.01380705075968153,0.0014167380748011562,0.21688381782016455
0.048414023372287146,0.014292321513949036,0.0015219884324820742,0.22417944485631408
0.05008347245409015,0.014776723204422429,0.0016310260044586217,0.2314102502624195
0.05175292153589316,0.015260234682170873,0.0017438189204552117,0.23857643187310448
0.05342237061769616,0.01574283601067411,0.0018603330547446303,0.24567818927674473
0.05509181969949917,0.016224508424225324,0.0019805322540313967,0.2527157237177574
0.05676126878130217,0.016705234287400193,0.0021043785511307427,0.2596892380005752
0.05843071786310518,0.01718499705560307,0.0022318323651326537,0.26659893639530374
0.06010016694490818,0.017663781236696784,0.0023628526887173565,0.2734450245450587
0.06176961602671119,0.018141572353719007,0.0024973972632655237,0.28022770937497854
0.06343906510851419,0.018618356908684193,0.0026354227423829413,0.28694719900289645
0.0651085141903172,0.01909412234746738,0.0027768848444359195,0.29360370265168106
0.0667779632721202,0.019568857025762717,0.0029217384946707554,0.30019743056321596
0.06844741235392321,0.02004255017610779,0.003069937957467202,0.30672859391402885
0.07011686143572621,0.0205151918759613,0.0032214369592533394,0.3131974047325411
0.07178631051752922,0.02098677301682129,0.0033761888025870346,0.3196040758179424
0.07345575959933222,0.02145728527436751,0.003534146471886911,0.3259488206606678
0.07512520868113523,0.021926721079611453,0.0036952627312751484,0.3322318533644678
0.07679465776293823,0.02239507359103519,0.003859490214972497,0.33845338857005924
0.07846410684474124,0.022862336667699594,0.004026781510666961,0.34461364138034284
0.08013355592654424,0.023328504843301272,0.004197089236256833,0.35071282728716874
0.08180300500834725,0.023793573301156695,0.004370366110350461,0.3567511620996429
0.08347245409015025,0.02425753785009145,0.004546565016886571,0.36272886187395004
0.08514190317195326,0.024720394901211883,0.004725639064221239,0.3686461428446838
0.08681135225375626,0.025182141445536155,0.004907541639010319,0.37450322135766495
0.08848080133555927,0.0256427750324614,0.005092226455200274,0.38030031380422896
0.09015025041736227,0.026102293749042892,0.00527964759842404,0.3860376365569704
0.09181969949916528,0.02656069620006248,0.005469759566083562,0.391715405906922
0.09348914858096828,0.027017981488861656,0.00566251730338634,0.3973338380021538
0.0951585976627713,0.027474149198916303,0.005857876235589043,0.40289314878777077
0.09682804674457429,0.027929199376129317,0.006055792296688686,0.4083935539472929
0.0984974958263773,0.028383132511817843,0.006256221954787711,0.413835268845401
