STT,X,Y
1,0,0
2,0.000805009,0.000255766
3,0.002146691,0.000501861
4,0.004293381,0.000733453
5,0.006440072,0.000965044
6,0.008318426,0.00120147
7,0.009928444,0.001442731
8,0.011806798,0.001679157
9,0.013685152,0.001915583
10,0.015026834,0.002161679
11,0.016905188,0.002398105
12,0.018246869,0.00237393
13,0.019588551,0.002620026
14,0.021198569,0.002861287
15,0.02254025,0.002837113
16,0.024150268,0.003078374
17,0.026028623,0.0033148
18,0.02763864,0.003556061
19,0.028980322,0.003802156
20,0.031127013,0.003763477
21,0.03273703,0.004004738
22,0.034347048,0.004245999
23,0.036493739,0.00447759
24,0.038640429,0.004709181
25,0.041323792,0.004931103
26,0.042397138,0.005182034
27,0.044275492,0.00541846
28,0.045617174,0.005664555
29,0.047495528,0.005900981
30,0.049373882,0.006137408
31,0.052325581,0.006354494
32,0.054740608,0.00658125
33,0.05608229,0.006827346
34,0.057960644,0.007063772
35,0.059302326,0.007309868
36,0.060107335,0.007565634
37,0.06118068,0.007816564
38,0.062254025,0.008067495
39,0.06332737,0.008318426
40,0.064937388,0.008829957
41,0.066547406,0.009341488
42,0.067352415,0.009597254
43,0.067889088,0.009857854
44,0.068694097,0.01011362
45,0.069230769,0.01037422
46,0.069767442,0.010634821
47,0.070304114,0.010895421
48,0.070840787,0.011156022
49,0.071645796,0.011411787
50,0.072182469,0.011672388
51,0.072987478,0.011928154
52,0.07352415,0.012188754
53,0.074060823,0.012449355
54,0.074597496,0.012709955
55,0.075134168,0.012970556
56,0.075670841,0.013231156
57,0.076207513,0.013491757
58,0.076744186,0.013752357
59,0.077280859,0.014012958
60,0.078354204,0.014534158
61,0.079427549,0.015055359
62,0.080769231,0.015571726
63,0.082379249,0.016353527
64,0.083452594,0.016874728
65,0.084794275,0.017661364
66,0.086135957,0.018177731
67,0.087209302,0.018698931
68,0.088282648,0.019220132
69,0.089624329,0.020006769
70,0.090697674,0.02052797
71,0.09177102,0.021049171
72,0.092844365,0.021570372
73,0.09391771,0.022091573
74,0.094991055,0.022612774
75,0.096332737,0.02339941
76,0.097406082,0.023920611
77,0.098747764,0.024707247
78,0.099821109,0.025228448
79,0.101162791,0.026015085
80,0.102236136,0.026536286
81,0.103309481,0.027057487
82,0.104382826,0.027578688
83,0.105456172,0.028099889
84,0.106529517,0.02889136
85,0.107871199,0.029677996
86,0.10921288,0.030464633
87,0.110822898,0.031516705
88,0.11216458,0.032033071
89,0.113506261,0.033089977
90,0.114579606,0.033611178
