STT,X,Y
1,0,0
2,0.000317164179104469,0.0009375
3,0.000634328358208948,0.001875
4,0.000951492537313427,0.003125
5,0.0012686567164179,0.005
6,0.00158582089552238,0.0065625
7,0.00222014925373133,0.0084375
8,0.00285447761194029,0.010625
9,0.00317164179104477,0.011875
10,0.00348880597014924,0.0128125
11,0.00380597014925372,0.0137499999999999
12,0.00444029850746267,0.0156249999999999
13,0.00507462686567163,0.0171875
14,0.00570895522388059,0.0187499999999999
15,0.00634328358208955,0.020625
16,0.0069776119402985,0.0221874999999999
17,0.00729477611940297,0.0234374999999999
18,0.00792910447761192,0.0253124999999999
19,0.00888059701492538,0.0274999999999999
20,0.00951492537313432,0.0293749999999999
21,0.0104664179104477,0.0315624999999999
22,0.0114179104477611,0.0331249999999999
23,0.0117350746268656,0.0353124999999999
24,0.0123694029850746,0.0368749999999999
25,0.0126865671641791,0.0378124999999999
26,0.0130037313432835,0.0384374999999999
27,0.0136380597014925,0.0396874999999999
28,0.0142723880597015,0.0415624999999999
29,0.0155410447761194,0.0434374999999999
30,0.0161753731343283,0.0449999999999999
31,0.0171268656716417,0.0465624999999999
32,0.0177611940298507,0.0484374999999999
33,0.0187126865671641,0.0503124999999999
34,0.0196641791044776,0.0521874999999999
35,0.0202985074626865,0.0534374999999999
36,0.0215671641791044,0.0553124999999999
37,0.0225186567164179,0.0571874999999999
38,0.0237873134328358,0.0590624999999999
39,0.0244216417910447,0.0603124999999999
40,0.0256902985074626,0.0618749999999999
41,0.0269589552238806,0.0634374999999999
42,0.0282276119402985,0.0653124999999999
43,0.0294962686567164,0.0671874999999999
44,0.0307649253731343,0.0687499999999999
45,0.0320335820895522,0.0699999999999999
46,0.0333022388059701,0.0718749999999999
47,0.034570895522388,0.0734374999999999
48,0.0358395522388059,0.0743749999999999
49,0.0371082089552238,0.0756249999999999
50,0.0383768656716417,0.0768749999999999
51,0.0402798507462686,0.0787499999999999
52,0.0421828358208955,0.0803124999999999
53,0.0440858208955223,0.0821874999999999
54,0.0459888059701492,0.0834374999999999
55,0.0472574626865671,0.0846874999999999
56,0.048526119402985,0.0856249999999999
57,0.0504291044776119,0.0868749999999999
58,0.0520149253731343,0.0878124999999999
59,0.0536007462686567,0.0890624999999999
60,0.0555037313432835,0.0903124999999999
61,0.0577238805970149,0.0915624999999999
62,0.0599440298507462,0.0924999999999999
63,0.0615298507462686,0.0934374999999999
64,0.063115671641791,0.0943749999999999
65,0.0650186567164179,0.0953124999999999
66,0.0662873134328358,0.0959374999999999
67,0.0685074626865671,0.0968749999999999
68,0.0713619402985074,0.0981249999999999
69,0.0732649253731343,0.0987499999999999
70,0.0751679104477611,0.0993749999999999
71,0.077705223880597,0.100312499999999
72,0.0792910447761194,0.100937499999999
73,0.0824626865671641,0.102187499999999
74,0.0872201492537313,0.102187499999999
75,0.0888059701492537,0.102812499999999
76,0.0913432835820895,0.102812499999999
77,0.0948320895522388,0.102812499999999
78,0.097686567164179,0.103749999999999
79,0.101492537313432,0.103749999999999
80,0.103395522388059,0.103437499999999
81,0.105615671641791,0.103124999999999
82,0.106884328358208,0.102812499999999
83,0.10910447761194,0.102499999999999
84,0.112276119402985,0.102187499999999
85,0.114179104477611,0.101874999999999
86,0.115764925373134,0.101562499999999
87,0.117033582089552,0.101249999999999
88,0.11830223880597,0.100937499999999
89,0.119570895522388,0.100624999999999
90,0.12115671641791,0.0999999999999999
91,0.122425373134328,0.0996874999999999
92,0.124645522388059,0.0990624999999999
93,0.126231343283582,0.0984374999999999
94,0.127817164179104,0.0978124999999999
95,0.129402985074626,0.0971874999999999
96,0.131623134328358,0.0962499999999999
97,0.13320895522388,0.0953124999999999
98,0.134477611940298,0.0946874999999999
99,0.13606343283582,0.0937499999999999
100,0.137966417910447,0.0924999999999999
101,0.139869402985074,0.0912499999999999
102,0.14240671641791,0.0893749999999999
103,0.143992537313432,0.0884374999999999
104,0.145578358208955,0.0874999999999999
105,0.146529850746268,0.0865624999999999
106,0.147481343283582,0.0856249999999999
107,0.14875,0.0846874999999999
108,0.149384328358208,0.0840624999999999
109,0.150652985074626,0.0824999999999999
110,0.15160447761194,0.0815624999999999
111,0.153190298507462,0.0799999999999999
112,0.154776119402985,0.0781249999999999
113,0.155410447761194,0.0771874999999999
114,0.156679104477611,0.0759374999999999
115,0.157630597014925,0.0746874999999999
116,0.158582089552238,0.0734374999999999
117,0.159533582089552,0.0721874999999999
118,0.160167910447761,0.0709374999999999
119,0.161119402985074,0.0690624999999999
120,0.161753731343283,0.0678124999999999
121,0.162388059701492,0.0665624999999999
122,0.163022388059701,0.0653124999999999
123,0.163339552238805,0.0643749999999999
124,0.164291044776119,0.0624999999999999
125,0.164608208955223,0.0609374999999999
126,0.165242537313432,0.0593749999999999
127,0.165876865671641,0.0571874999999999
128,0.166828358208955,0.0549999999999999
129,0.167145522388059,0.0537499999999999
130,0.167462686567164,0.0521874999999999
131,0.167779850746268,0.0509374999999999
132,0.168097014925373,0.0496874999999999
133,0.168414179104477,0.0484374999999999
134,0.168731343283582,0.0471874999999999
135,0.169048507462686,0.0462499999999999
136,0.169365671641791,0.0446874999999999
137,0.169365671641791,0.0434374999999999
138,0.169682835820895,0.0421874999999999
139,0.169682835820895,0.0406249999999999
140,0.17,0.0390624999999999
141,0.170317164179104,0.0374999999999999
142,0.170317164179104,0.0356249999999999
143,0.170317164179104,0.0343749999999999
144,0.170634328358208,0.0321874999999999
145,0.170951492537313,0.0309374999999999
146,0.170951492537313,0.0293749999999999
147,0.171268656716417,0.0278124999999999
148,0.171268656716417,0.0259375
149,0.171268656716417,0.0243749999999999
150,0.171268656716417,0.0224999999999999
151,0.171268656716417,0.0209374999999999
152,0.170951492537313,0.0196874999999999
153,0.170951492537313,0.0184375
154,0.170951492537313,0.0171875
155,0.170951492537313,0.0156249999999999
156,0.170634328358208,0.0140625
157,0.170634328358208,0.0121874999999999
158,0.170634328358208,0.0103124999999999
159,0.170317164179104,0.00875
160,0.170317164179104,0.0071875
161,0.170317164179104,0.005625
162,0.17,0.0034375
163,0.17,0.0021875
164,0.17,0.0009375
165,0.17,-0.0003125
