STT,X,Y
1,0,0
2,0.000777262180974478,0.000705502154458059
3,0.000986078886310917,0.00207712959893934
4,0.000742459396751744,0.00377689758037783
5,0.000382830626450108,0.00581465031488233
6,0.000580046403712284,0.0082100762346702
7,0.000777262180974478,0.010605502154458
8,0.000870069605568435,0.0123151143520053
9,0.00085846867749419,0.0133389128273118
10,0.00106728538283062,0.0147105402717931
11,0.00116009280742458,0.0164201524693404
12,0.001368909512761,0.0177917799138217
13,0.00146171693735498,0.0195013921113689
14,0.00167053364269142,0.0208730195558501
15,0.00187935034802784,0.0222446470003314
16,0.00208816705336426,0.0236162744448127
17,0.00229698375870068,0.024987901889294
18,0.0024013921113689,0.0256737156115346
19,0.0025058004640371,0.0263595293337752
20,0.00271461716937354,0.0277311567782565
21,0.00292343387470996,0.0291027842227378
22,0.00313225058004638,0.0304744116672191
23,0.0035614849187935,0.032193868080875
24,0.00377030162412992,0.0335654955253563
25,0.00419953596287701,0.0352849519390123
26,0.00451276102088165,0.0373423931057342
27,0.00472157772621807,0.0387140205502154
28,0.00515081206496519,0.0404334769638714
29,0.00547563805104408,0.0414671196552867
30,0.00568445475638048,0.042838747099768
31,0.00600928074245937,0.0438723897911833
32,0.00655452436194893,0.0452538614517733
33,0.0070997679814385,0.0466353331123633
34,0.00742459396751739,0.0476689758037786
35,0.00785382830626447,0.0493884322174345
36,0.00839907192575404,0.0507699038780245
37,0.00928074245939674,0.0521612197547232
38,0.00982598607888627,0.0535426914153132
39,0.0103712296983758,0.0549241630759032
40,0.0110324825986078,0.0559676499834273
41,0.0116937354988398,0.0570111368909513
42,0.0122389791183294,0.0583926085515413
43,0.0129002320185614,0.0594360954590653
44,0.0140023201856148,0.0611752403049387
45,0.0146635730858468,0.0622187272124627
46,0.0153248259860788,0.0632622141199868
47,0.0159860788863108,0.0643057010275108
48,0.0164269141531322,0.0650013589658601
49,0.0170881670533642,0.0660448458733842
50,0.0180858468677494,0.0670981769970169
51,0.0188631090487238,0.067803679151475
52,0.0195243619489558,0.068847166058999
53,0.0203016241299303,0.0695526682134571
54,0.0209628770301623,0.0705961551209811
55,0.0222969837587006,0.0716593304607226
56,0.0230742459396751,0.0723648326151807
57,0.0240719257540603,0.0734181637388134
58,0.0248491879350347,0.0741236658932715
59,0.0259628770301623,0.0748390122638383
