STT,X,Y
1,0,0
2,0.000453148,0.001389433
3,0.000906295,0.002778867
4,0.001359443,0.0041683
5,0.00181259,0.005557733
6,0.002265738,0.006947166
7,0.003005084,0.008688347
8,0.004030628,0.010781275
9,0.004424151,0.012513677
10,0.005449696,0.014606605
11,0.006129417,0.016690755
12,0.007154961,0.018783683
13,0.007834683,0.020867833
14,0.008574029,0.022609013
15,0.00925375,0.024693163
16,0.009993096,0.026434344
17,0.01113789,0.027841333
18,0.011531413,0.029573736
19,0.012556957,0.031666664
20,0.013582502,0.033759591
21,0.014321848,0.035500772
22,0.015061194,0.037241953
23,0.01580054,0.038983133
24,0.017171907,0.041084839
25,0.017970878,0.04248305
26,0.018364401,0.044215453
27,0.019282621,0.044927725
28,0.020081592,0.046325937
29,0.020761313,0.048410087
30,0.021906107,0.049817076
31,0.022705078,0.051215287
32,0.023563673,0.052270529
33,0.024422268,0.053325771
34,0.025221239,0.054723982
35,0.026079834,0.055779224
36,0.02693843,0.056834466
37,0.027797025,0.057889708
38,0.028369422,0.058593203
39,0.029228017,0.059648445
40,0.030086613,0.060703687
41,0.030945208,0.061758929
42,0.031863428,0.062471201
43,0.032722023,0.063526443
44,0.03421264,0.064942211
45,0.035071236,0.065997452
46,0.035929831,0.067052694
47,0.037480073,0.068125492
48,0.038684491,0.069189512
49,0.039829285,0.070596502
50,0.041033704,0.071660522
51,0.042238122,0.072724542
52,0.043156342,0.073436814
53,0.044074562,0.074149087
54,0.045278981,0.075213107
55,0.047115421,0.076637652
56,0.048379464,0.077358703
57,0.049297684,0.078070975
58,0.050215904,0.078783248
59,0.05182577,0.079513077
60,0.052398167,0.080216571
61,0.053662211,0.080937622
62,0.054926254,0.081658673
63,0.05653612,0.082388501
64,0.05745434,0.083100774
65,0.058718383,0.083821825
66,0.059982426,0.084542875
67,0.062570137,0.085642007
68,0.064466202,0.086723583
69,0.06578987,0.087101664
70,0.067399736,0.087831493
71,0.069009603,0.088561322
72,0.070333271,0.088939403
73,0.071656938,0.089317484
74,0.072634783,0.089686788
75,0.073958451,0.090064869
76,0.076605787,0.090821032
77,0.078275278,0.091207891
78,0.079598946,0.091585973
79,0.081268437,0.091972832
80,0.083283751,0.092368469
81,0.086336534,0.092790441
82,0.088351848,0.093186078
83,0.091058809,0.093599271
84,0.093133748,0.093651939
85,0.094862863,0.093695829
86,0.096246156,0.093730941
87,0.097283625,0.093757275
88,0.098321095,0.093783609
89,0.099704387,0.093818722
90,0.10108768,0.093853834
91,0.102816795,0.093897724
92,0.104951359,0.093607422
93,0.108469215,0.093352233
94,0.110603778,0.093061932
95,0.113084165,0.092780409
96,0.115218728,0.092490107
97,0.116315823,0.092173472
98,0.118104563,0.091874393
99,0.120298751,0.091241122
100,0.121741668,0.090933265
101,0.122838762,0.09061663
102,0.124341304,0.089965803
103,0.125784221,0.089657946
104,0.12797841,0.089024675
105,0.129886399,0.088039657
106,0.131734764,0.087397609
107,0.133583129,0.08675556
108,0.135085671,0.086104734
109,0.137339484,0.085128494
110,0.139247474,0.084143476
111,0.140750016,0.083492649
112,0.141906734,0.082833045
113,0.143063453,0.08217344
114,0.144220172,0.081513835
115,0.145376891,0.080854231
116,0.146939057,0.079860435
117,0.148501224,0.078866639
118,0.150123015,0.077529874
119,0.151685182,0.076536078
120,0.153652796,0.075208091
121,0.155214963,0.074214295
122,0.156490931,0.072868752
123,0.157707274,0.071866178
124,0.158983242,0.070520635
125,0.160199586,0.069518061
126,0.161475554,0.068172517
127,0.162405699,0.066818196
128,0.163681667,0.065472653
129,0.16501726,0.06378414
130,0.166412477,0.061752659
131,0.168213143,0.059386986
132,0.16960836,0.057355504
133,0.170538505,0.056001182
134,0.171933722,0.053969701
135,0.172923492,0.05227241
136,0.174259085,0.050583898
137,0.174962656,0.04853486
138,0.175892801,0.047180539
139,0.176477123,0.045817439
140,0.177586142,0.04343421
141,0.178695161,0.041050981
142,0.179279483,0.039687882
143,0.179863805,0.038324783
144,0.180388502,0.037304653
145,0.180567376,0.036275745
146,0.181092073,0.035255615
147,0.18173602,0.033549546
148,0.182320341,0.032186447
149,0.182904663,0.030823348
150,0.183143162,0.029451471
151,0.183727484,0.028088371
152,0.18437143,0.026382303
153,0.184669554,0.024667456
154,0.185373125,0.022618418
155,0.185730873,0.020560603
156,0.186028996,0.018845756
157,0.186732568,0.016796718
158,0.186971066,0.015424841
159,0.187209565,0.014052964
160,0.187448064,0.012681086
161,0.187746187,0.01096624
162,0.188449758,0.008917202
163,0.188807506,0.006859386
164,0.189165255,0.00480157
165,0.189749576,0.003438471
166,0.189988075,0.002066594
167,0.190226574,0.000694717
168,0.190465072,-0.000677161
