xi,x_m,y_m,phi_rad
0.0,0.0,0.0,-0.24899097090518002
0.001669449081803005,0.0004981833278878802,3.970011007192693e-06,-0.23813882129484504
0.00333889816360601,0.0009974365495014985,7.042069036482943e-06,-0.22736549681192353
0.005008347245409015,0.0014977419900576274,9.28332196645079e-06,-0.21667095625667182
0.00667779632721202,0.0019990800719509624,1.0765008571266483e-05,-0.2060551496392887
0.008347245409015025,0.0025014293299632246,1.1562372676006842e-05,-0.19551801825790546
0.01001669449081803,0.0030047664333131257,1.175455810962522e-05,-0.1850594947951273
0.011686143572621035,0.0035090662145895587,1.1424484439352402e-05,-0.1746795034319376
0.01335559265442404,0.004014301705563043,1.065870362603379e-05,-0.1643779599777008
0.015025041736227046,0.004520444179821761,9.547237899538069e-06,-0.15415477201493424
0.01669449081803005,0.005027463202128879,8.1833993149749e-06,-0.14400983905747736
0.018363939899833055,0.0055353266843481954,6.663591611942815e-06,-0.13394305272065216
0.02003338898163606,0.006044000947735548,5.087095158230475e-06,-0.12395429690199644
0.021702838063439065,0.006553450791345142,3.5558359142154127e-06,-0.11404344797115282
0.02337228714524207,0.007063639566252882,2.1741395024758555e-06,-0.10421037496751037
0.025041736227045076,0.007574529255254273,1.0484716068132509e-06,-0.09445493980422753
0.02671118530884808,0.008086080557652352,2.871660540181687e-07,-0.08477699747730388
0.028380634390651086,0.008598252978712603,1.4204848729864968e-10,-0.07517639627842648
0.03005008347245409,0.009111004923326857,2.986121325722274e-07,-0.06565297801037723
0.03171953255425709,0.009624293793397654,1.294782532907545e-06,-0.056206578203862045
0.0333889816360601,0.010138076088428486,3.101547623711709e-06,-0.04683702633470316
0.035058430717863104,0.010652307508784336,5.832180291276719e-06,-0.03754414604042139
0.03672787979966611,0.011166943061070956,9.600020018881467e-06,-0.028327755335326832
0.038397328881469114,0.011681937165070846,1.451816052784268e-05,-0.019187666823328453
0.04006677796327212,0.012197243761668678,2.0699138808224002e-05,-0.010123687907768075
0.041736227045075125,0.012712816421199029,2.8254627352118395e-05,-0.0011356209976802756
0.04340567612687813,0.01322860845165492,3.729513136382249e-05,0.007776736290030395
0.045075125208681135,0.01374457300620629,4.792969266546465e-05,0.016613590932907818
0.04674457429048414,0.014260663189492932,6.02656019445477e-05,0.02537515431008852
0.048414023372287146,0.01477683216217689,7.440812090290297e-05,0.03406164201451861
0.05008347245409015,0.01529303324326329,9.046021576578631e-05,0.04267327367040863
0.05175292153589316,0.015809220009727287,0.00010852230349713566,0.051210272756025965
0.05342237061769616,0.016325346393016072,0.00012869201194387183,0.0596728664318556
0.05509181969949917,0.016841366772029572,0.0001510639550003496,0.06806128537410377
0.05676126878130217,0.01735723606222039,0.00017572952374560316,0.07637576361346377
0.05843071786310518,0.017872909800492377,0.00020277669436260786,0.08461653837902672
0.06010016694490818,0.0183883442256172,0.0002322898535023523,0.09278384994717026
0.06176961602671119,0.018903496353929565,0.0002643496416079059,0.10087794149524337
0.06343906510851419,0.019418324050102936,0.00029903281456649647,0.10889905895982355
0.0651085141903172,0.019932786092848716,0.0003364121239127842,0.11684745089932513
