xi,x_m,y_m,phi_rad
0.0,0.0,0.0,-0.2632900426617675
0.001669449081803005,0.0004994754037100155,3.7288211954288474e-06,-0.2522518652981789
0.00333889816360601,0.0009999356770426984,6.599739924114742e-06,-0.24129241190045547
0.005008347245409015,0.0015013708601778232,8.678733084243512e-06,-0.2304116629488384
0.00667779632721202,0.0020037690685753102,1.0035821964179729e-05,-0.21960959161048335
0.008347245409015025,0.0025071165040827193,1.0744904052994546e-05,-0.2088861636191411
0.01001669449081803,0.0030113974725045622,1.0883570385382298e-05,-0.19824133718034498
0.011686143572621035,0.003516594407520442,1.0532909473563442e-05,-0.18767506290153715
0.01335559265442404,0.0040226879008060015,9.7772989501767e-06,-0.17718728374643508
0.015025041736227046,0.004529656738179084,8.704186106631216e-06,-0.16677793501282454
0.01669449081803005,0.005037477941563566,7.403858560600173e-06,-0.15644694433286016
0.018363939899833055,0.005546126816535337,5.969206324073216e-06,-0.1461942316948631
0.02003338898163606,0.006055577005188918,4.495476569617992e-06,-0.13601970948552303
0.021702838063439065,0.006565800544039578,3.0800224073562174e-06,-0.12592328255134877
0.02337228714524207,0.007076767926654331,1.8220469888501526e-06,-0.11590484827815375
0.025041736227045076,0.007588448170686449,8.223442470344828e-07,-0.10596429668731891
0.02671118530884808,0.008100808888971703,1.8303756397823348e-07,-0.09610151054754901
0.028380634390651086,0.008613816364330873,7.317631252584618e-09,-0.08631636550081517
0.03005008347245409,0.009127435627711938,3.9918073167589117e-07,-0.07660873020116837
0.03171953255425709,0.009641630539296868,1.463168626998373e-06,-0.06697846646511424
0.0333889816360601,0.010156363872192148,3.304111184490754e-06,-0.05742542943224238
0.035058430717863104,0.010671597398318735,6.026872817297023e-06,-0.04794946773483777
0.03672787979966611,0.011187291976116301,9.736103749692612e-06,-0.038550423675214496
0.038397328881469114,0.011703407639678403,1.4535997050011888e-05,-0.029228133409565538
0.04006677796327212,0.012219903688938698,2.0530052301818436e-05,-0.01998242713714682
0.041736227045075125,0.012736738780534619,2.7820846708925935e-05,-0.010813129293685275
0.04340567612687813,0.01325387101898275,3.650981435285014e-05,-0.0017200587479330176
0.045075125208681135,0.013771258047810278,4.669703424321195e-05,0.007296970999635
0.04674457429048414,0.014288857140298228,5.848102772318781e-05,0.016238151616925267
0.048414023372287146,0.014806625289505607,7.195856571412553e-05,0.025103679740019424
0.05008347245409015,0.015324519297258062,8.722448620663344e-05,0.03389375677345896
0.05175292153589316,0.01584249586180053,0.00010437152233036602,0.042608588691776694
0.05342237061769616,0.016360511663830003,0.00012349014126195713,0.05124838584293839
0.05509181969949917,0.01687852345064269,0.0001446683941606996,0.05981336275430815
0.05676126878130217,0.017396488118147733,0.00016799177725480626,0.06830373794166622
0.05843071786310518,0.01791436279051931,0.00019354310413799235,0.07671973372174784
0.06010016694490818,0.018432104897277757,0.00022140238927697415,0.08506157602870573
0.06176961602671119,0.01894967224761054,0.0002516467426751999,0.09332949423482934
0.06343906510851419,0.01946702310176339,0.0002843502755873446,0.10152372097579698
0.0651085141903172,0.019984116239351805,0.0003195840171324149,0.10964449198067283
0.0667779632721202,0.020500911024462692,0.00035741584161112284,0.11769204590680948
0.06844741235392321,0.021017367467435596,0.00039791040629533637,0.12566662417976404
0.07011686143572621,0.021533446283231422,0.0004411290994237557,0.1335684708382765
0.07178631051752922,0.0220491089463158,0.00048712999810852675,0.14139783238433634
0.07345575959933222,0.022564317742001776,0.000535967835832267,0.14915495763829117
0.07512520868113523,0.02307903581421418,0.0005876939791932966,0.15684009759894446
0.07679465776293823,0.02359322720965462,0.0006423564135392034,0.1644535053085352
0.07846410684474124,0.02410685691836223,0.000699999737114436,0.17199543572247122
0.08013355592654424,0.024619890910680245,0.0007606651633366852,0.17946614558366303
0.08180300500834725,0.025132296170653164,0.0008243905308085703,0.18686589330127823
0.08347245409015025,0.02564404072589232,0.0008912103206660924,0.19419493883373173
0.08514190317195326,0.026155093673961013,0.0009611556808624035,0.201453543575691
0.08681135225375626,0.02666542520534102,0.0010342544569850423,0.20864197024889097
0.08848080133555927,0.027175006623054398,0.001110531229206573,0.21576048279652704
0.09015025041736227,0.027683810359023002,0.0011900073549716754,0.22280934628099747
0.09181969949916528,0.028191809987258294,0.0012727010170292422,0.22978882678476786
0.09348914858096828,0.02869898023398108,0.0013586272764240673,0.23669919131412864
0.0951585976627713,0.029205296984778615,0.001447798130070581,0.24354070770562097
0.09682804674457429,0.029710737288912378,0.0015402225725398653,0.2503136445349122
0.0984974958263773,0.03021527936089525,0.0016359066617003973,0.2570182710279201
0.1001669449081803,0.030718902579461402,0.0017348535878633766,0.2636548569739714
0.10183639398998331,0.03122158748405592,0.0018370637460943082,0.2702236726408269
0.10350584307178631,0.031723315768973706,0.0019425348113632714,0.2767249886913775
0.10517529215358933,0.03222407027528013,0.0020512618162184418,0.28315907610187596
0.10684474123539232,0.03272383498064627,0.0021632372306782705,0.289526206081532
0.10851419031719532,0.03322259498723315,0.002278451044050356,0.29582664999335906
0.11018363939899833,0.033720336507759116,0.002396890848396014,0.30206067927615476
0.11185308848080133,0.03421704684988386,0.0025185419233722563,0.30822856536750365
0.11352253756260434,0.034712714399041486,0.0026433873221937553,0.31433057962773847
0.11519198664440734,0.03520732859985365,0.002771407958469706,0.3203669932647766
0.11686143572621036,0.03570087993625124,0.0029025826936814013,0.32633807725977937
0.11853088480801335,0.03619335991043082,0.003036888425078238,0.33224410229360557
0.12020033388981637,0.03668476102076868,0.0031743001737803422,0.33808533867402624
0.12186978297161936,0.03717507673881241,0.00331479117288749,0.3438620562636898
0.12353923205342238,0.037664301485465776,0.0034583329554042437,0.3495745244088372
0.12520868113522537,0.03815243060647903,0.003604895441802243,0.35522301186878247
0.12687813021702837,0.038639460347352335,0.003754447027050042,0.360807786746175
0.1285475792988314,0.03912538782775553,0.003906954666952095,0.3663291164180802
0.1302170283806344,0.03961021101556305,0.004062383963647005,0.37178726746790813
0.1318864774624374,0.04009392870059784,0.0042206992501260835,0.3771825056182422
0.1335559265442404,0.04057654046817331,0.004381863673641584,0.3825150956646175
0.13522537562604342,0.04105804667251746,0.00454583927788398,0.3877853014103023
0.13689482470784642,0.041538448410158295,0.004712587083816157,0.39299338560214414
0.13856427378964942,0.04201774749334474,0.004882067169061945,0.39813960986753094
0.14023372287145242,0.04249594642357201,0.005054238745753665,0.4032242346525471
0.14190317195325544,0.04297304836527588,0.005229060236753611,0.4082475191613689
0.14357262103505844,0.04344905711975507,0.005406489350171156,0.413209721296975
0.14524207011686144,0.04392397709937626,0.005586483152105928,0.41811109760321263
0.14691151919866444,0.04439781330211161,0.005768998137555283,0.4229519032082989
0.14858096828046746,0.0448705712864539,0.005953990299431422,0.4277323917697997
0.15025041736227046,0.04534225714675032,0.006141415195642322,0.4324528154211238
0.15191986644407346,0.045812877488990905,0.006331228014195638,0.43711342471960557
0.15358931552587646,0.046282439407084625,0.006523383636294218,0.44171446859618635
0.15525876460767948,0.04675095045965059,0.0067178366973965975,0.44625619430675445
0.15692821368948248,0.047218418647349665,0.006914541646223705,0.4507388473851478
0.15859766277128548,0.047684852390776605,0.00711345280169868,0.4551626715978687
0.16026711185308848,0.048150260508930745,0.007314524407812957,0.4595279089005002
0.16193656093489148,0.04861465219827874,0.007517710686417318,0.4638347993958567
0.1636060100166945,0.04907803701242058,0.007722965887942673,0.46808358129385297
0.1652754590984975,0.04954042484236707,0.007930244340059872,0.47227449087310047
0.1669449081803005,0.05000182589743368,0.008139500494293659,0.4764077624442269
0.1686143572621035,0.05046225068675389,0.008350688970609576,0.4804836283148777
0.17028380634390652,0.050921710001411956,0.00856376459999804,0.48450231875641203
0.17195325542570952,0.051380214897193514,0.0087786824650833,0.48846406197223746
0.17362270450751252,0.05183777667795005,0.008995397938789102,0.4923690840677686
0.17529215358931552,0.05229440687957078,0.009213866721096487,0.49621760902196244
0.17696160267111855,0.05275011725455508,0.009434044873932077,0.5000098586603955
0.17863105175292154,0.05320491975717554,0.009655888854228682,0.5037460526298233
0.18030050083472454,0.05365882652922098,0.00987935554520303,0.5074264083741948
0.18196994991652754,0.05411184988630732,0.010104402285896485,0.5110511411120356
0.18363939899833057,0.054564002304742544,0.010330986899028652,0.5146204638151801
0.18530884808013356,0.05501529640893122,0.010559067717215199,0.5181345871887565
0.18697829716193656,0.05546574495930282,0.010788603607601643,0.5215937196523978
0.18864774624373956,0.05591536084074676,0.011019553994968808,0.524998067322586
0.1903171953255426,0.056364157051536384,0.011251878883364722,0.5283478339960903
0.19198664440734559,0.056812146692723574,0.01148553887632021,0.5316432211344151
0.19365609348914858,0.05725934295798386,0.011720495195706475,0.5348844278492109
0.19532554257095158,0.057705759123891816,0.011956709699292528,0.5380716508885652
0.1969949916527546,0.058151408540605826,0.012194144897062567,0.5412050846241223
0.1986644407345576,0.058596304622939625,0.012432763966353247,0.5442849210389711
0.2003338898163606,0.05904046084179841,0.012672530765870932,0.5473113497162247
0.2020033388981636,0.05948389071595548,0.012913409848650127,0.5502845578282434
0.20367278797996663,0.059926607804145174,0.013155366474014569,0.5532047301264348
0.20534223706176963,0.06036862569744694,0.013398366618602265,0.5560720489315907
0.20701168614357263,0.06080995801193435,0.013642376986515785,0.5588866941246811
0.20868113522537562,0.06125061838156188,0.013887365018661628,0.5616488431380706
0.21035058430717865,0.06169062045126185,0.014133298901339022,0.5643586709471099
0.21202003338898165,0.062129977870222376,0.014380147574142728,0.5670163500620404
0.21368948247078465,0.06256870428531601,0.01462788073724175,0.5696220505201899
0.21535893155258765,0.06300681333464847,0.014876468858098584,0.5721759398783923
0.21702838063439064,0.06344431864119478,0.015125883177692163,0.5746781832056231
0.21869782971619367,0.0638812338064891,0.015376095716309915,0.5771289430757868
0.22036727879799667,0.06431757240433347,0.015627079278973846,0.5795283795606461
